from,to,datetime
433-599-1726,901-672-4727,2017-01-24T04:36:02.703109
819-849-1804,799-488-0562,2017-02-24T20:59:12.629194
473-110-5271,898-177-6861,2017-08-17T18:01:29.477961
458-246-9608,310-498-2762,2017-08-10T22:31:57.606355
737-711-6365,376-226-1704,2017-09-20T17:57:20.478720
226-031-6566,158-576-4578,2017-11-15T11:16:14.833001
905-408-8460,813-488-7105,2017-07-20T13:19:52.212996
737-711-6365,441-486-8744,2017-11-02T15:36:22.425791
960-664-8315,255-827-4711,2017-01-27T04:42:45.658864
585-337-8204,179-506-3473,2017-04-06T03:32:32.773119
363-649-7771,226-031-6566,2017-08-07T19:39:43.383621
573-488-8760,589-416-9564,2017-11-07T15:40:20.138255
315-099-0962,458-246-9608,2017-09-20T15:17:40.330935
316-259-5236,226-031-6566,2017-11-05T07:58:03.737503
508-189-5066,648-457-8297,2017-11-10T16:46:33.056799
799-488-0562,733-187-2959,2017-06-12T22:14:15.918396
573-488-8760,610-263-7288,2017-04-08T15:48:49.311055
810-044-1619,376-226-1704,2017-11-05T10:23:51.705684
799-488-0562,898-177-6861,2017-07-30T21:30:24.889236
737-711-6365,706-073-4548,2017-09-20T06:52:53.305334
644-097-7772,683-712-6411,2017-01-23T09:01:10.139922
603-627-2229,675-012-7149,2017-02-07T22:40:32.673113
226-031-6566,737-711-6365,2017-12-18T05:34:26.818858
316-259-5236,194-751-0726,2017-04-15T15:37:33.044586
819-849-1804,561-817-9890,2017-02-05T02:34:47.518575
861-878-1772,315-099-0962,2017-06-20T09:23:37.007263
370-187-0070,315-099-0962,2017-11-04T19:42:23.598478
905-168-6189,226-031-6566,2017-09-24T14:06:33.377156
363-649-7771,388-647-9826,2017-04-04T02:52:14.923928
315-099-0962,737-711-6365,2017-07-14T00:53:28.706551
370-187-0070,765-064-7110,2017-03-23T11:34:22.250520
186-729-3123,799-488-0562,2017-01-23T20:07:22.822690
573-488-8760,195-526-2361,2017-06-30T14:15:57.871663
221-827-1070,819-849-1804,2017-06-02T06:16:01.667041
252-663-3819,728-062-6327,2017-12-06T20:48:42.207517
315-508-5665,221-827-1070,2017-09-30T11:24:52.285226
585-337-8204,315-508-5665,2017-03-03T11:53:49.050056
799-488-0562,235-176-4381,2017-05-26T21:49:35.233047
433-599-1726,861-878-1772,2017-07-09T10:39:01.194548
737-711-6365,765-064-7110,2017-02-02T07:03:20.799740
186-729-3123,901-672-4727,2017-09-03T01:14:26.228550
479-518-8841,239-262-5534,2017-10-13T15:32:52.714593
562-069-8665,960-664-8315,2017-11-16T23:59:16.772326
819-849-1804,139-381-4068,2017-04-29T20:27:23.432833
589-416-9564,733-187-2959,2017-02-22T08:42:33.199450
733-187-2959,845-198-2046,2017-05-06T15:46:46.426224
932-432-3898,901-672-4727,2017-01-25T21:19:05.151095
644-097-7772,727-551-2106,2017-07-27T19:55:44.034743
573-488-8760,753-124-4994,2017-01-31T18:13:56.727965
316-259-5236,995-055-1114,2017-08-02T10:15:39.204926
898-177-6861,610-263-7288,2017-02-04T12:11:22.926673
737-711-6365,608-079-4930,2017-07-27T16:04:19.554835
221-827-1070,455-854-3710,2017-11-22T22:39:01.593957
733-187-2959,799-183-9806,2017-06-15T06:30:31.035953
252-663-3819,965-814-3291,2017-07-28T00:05:59.776123
118-360-4135,725-626-2996,2017-09-02T22:33:00.657846
810-044-1619,828-812-0718,2017-04-12T02:48:43.573439
819-849-1804,799-183-9806,2017-02-06T15:10:00.630568
403-275-0541,186-729-3123,2017-09-15T08:17:23.199918
813-488-7105,828-812-0718,2017-03-21T14:09:51.055524
799-488-0562,995-055-1114,2017-06-23T12:22:21.659410
960-664-8315,644-097-7772,2017-07-17T11:50:57.516936
370-187-0070,828-812-0718,2017-09-23T03:28:32.823335
675-012-7149,414-128-3556,2017-10-22T18:26:32.574804
472-537-1905,349-674-8673,2017-05-23T07:01:50.135040
226-031-6566,328-866-0427,2017-05-06T15:11:30.387333
675-012-7149,905-168-6189,2017-07-22T13:12:23.109455
898-177-6861,441-486-8744,2017-01-12T14:40:56.781919
441-486-8744,224-307-9607,2017-07-05T06:25:03.051860
589-416-9564,271-788-9365,2017-12-18T06:01:00.829339
799-488-0562,986-821-7725,2017-01-24T02:37:39.489236
589-416-9564,287-287-2300,2017-01-01T04:50:55.521479
370-187-0070,361-039-4345,2017-10-29T04:51:39.312637
737-711-6365,549-323-0194,2017-01-14T04:21:23.138190
316-259-5236,610-263-7288,2017-09-24T10:55:38.098427
603-627-2229,648-457-8297,2017-11-25T12:35:12.985565
573-488-8760,733-187-2959,2017-07-16T00:53:51.175297
472-537-1905,822-885-9453,2017-12-08T02:49:43.244439
733-187-2959,894-374-8558,2017-02-19T15:26:12.911878
316-259-5236,363-649-7771,2017-06-29T16:54:10.167847
799-488-0562,861-878-1772,2017-11-11T00:31:13.567829
316-259-5236,328-866-0427,2017-08-31T01:04:30.039848
733-187-2959,441-486-8744,2017-01-02T22:01:31.805223
819-849-1804,230-006-7468,2017-11-20T22:13:24.822553
433-599-1726,828-812-0718,2017-01-09T18:40:04.098894
116-475-3164,433-599-1726,2017-12-11T05:25:01.560579
932-432-3898,819-849-1804,2017-11-13T06:02:37.299329
186-729-3123,284-762-6101,2017-11-24T13:36:39.197019
603-627-2229,604-107-7176,2017-11-28T07:18:25.817898
960-664-8315,455-854-3710,2017-07-06T08:34:46.844529
585-337-8204,145-788-8928,2017-08-16T01:18:15.838718
648-457-8297,537-537-7090,2017-08-22T16:30:51.631170
898-177-6861,255-827-4711,2017-03-06T04:39:18.921026
905-408-8460,221-827-1070,2017-12-09T03:16:53.386947
603-627-2229,118-360-4135,2017-06-25T17:44:17.689790
116-475-3164,221-827-1070,2017-09-07T02:16:34.594836
370-187-0070,845-198-2046,2017-11-15T02:32:31.158546
908-589-1859,472-537-1905,2017-08-07T04:22:56.390221
252-663-3819,908-589-1859,2017-08-29T10:49:41.812858
813-488-7105,644-097-7772,2017-02-22T10:52:50.703126
458-246-9608,310-498-2762,2017-07-29T02:18:29.653617
508-189-5066,894-374-8558,2017-09-24T09:55:00.510588
932-432-3898,226-031-6566,2017-07-16T18:18:26.592407
