calling,called,date,time
433-599-1726,901-672-4727,2017-01-24,04:36:02.703109
819-849-1804,799-488-0562,2017-02-24,20:59:12.629194
473-110-5271,898-177-6861,2017-08-17,18:01:29.477961
458-246-9608,310-498-2762,2017-08-10,22:31:57.606355
737-711-6365,376-226-1704,2017-09-20,17:57:20.478720
226-031-6566,158-576-4578,2017-11-15,11:16:14.833001
905-408-8460,813-488-7105,2017-07-20,13:19:52.212996
737-711-6365,441-486-8744,2017-11-02,15:36:22.425791
960-664-8315,255-827-4711,2017-01-27,04:42:45.658864
585-337-8204,179-506-3473,2017-04-06,03:32:32.773119
363-649-7771,226-031-6566,2017-08-07,19:39:43.383621
573-488-8760,589-416-9564,2017-11-07,15:40:20.138255
315-099-0962,458-246-9608,2017-09-20,15:17:40.330935
316-259-5236,226-031-6566,2017-11-05,07:58:03.737503
508-189-5066,648-457-8297,2017-11-10,16:46:33.056799
799-488-0562,733-187-2959,2017-06-12,22:14:15.918396
573-488-8760,610-263-7288,2017-04-08,15:48:49.311055
810-044-1619,376-226-1704,2017-11-05,10:23:51.705684
799-488-0562,898-177-6861,2017-07-30,21:30:24.889236
737-711-6365,706-073-4548,2017-09-20,06:52:53.305334
644-097-7772,683-712-6411,2017-01-23,09:01:10.139922
603-627-2229,675-012-7149,2017-02-07,22:40:32.673113
226-031-6566,737-711-6365,2017-12-18,05:34:26.818858
316-259-5236,194-751-0726,2017-04-15,15:37:33.044586
819-849-1804,561-817-9890,2017-02-05,02:34:47.518575
861-878-1772,315-099-0962,2017-06-20,09:23:37.007263
370-187-0070,315-099-0962,2017-11-04,19:42:23.598478
905-168-6189,226-031-6566,2017-09-24,14:06:33.377156
363-649-7771,388-647-9826,2017-04-04,02:52:14.923928
315-099-0962,737-711-6365,2017-07-14,00:53:28.706551
370-187-0070,765-064-7110,2017-03-23,11:34:22.250520
186-729-3123,799-488-0562,2017-01-23,20:07:22.822690
573-488-8760,195-526-2361,2017-06-30,14:15:57.871663
221-827-1070,819-849-1804,2017-06-02,06:16:01.667041
252-663-3819,728-062-6327,2017-12-06,20:48:42.207517
315-508-5665,221-827-1070,2017-09-30,11:24:52.285226
585-337-8204,315-508-5665,2017-03-03,11:53:49.050056
799-488-0562,235-176-4381,2017-05-26,21:49:35.233047
433-599-1726,861-878-1772,2017-07-09,10:39:01.194548
737-711-6365,765-064-7110,2017-02-02,07:03:20.799740
186-729-3123,901-672-4727,2017-09-03,01:14:26.228550
479-518-8841,239-262-5534,2017-10-13,15:32:52.714593
562-069-8665,960-664-8315,2017-11-16,23:59:16.772326
819-849-1804,139-381-4068,2017-04-29,20:27:23.432833
589-416-9564,733-187-2959,2017-02-22,08:42:33.199450
733-187-2959,845-198-2046,2017-05-06,15:46:46.426224
932-432-3898,901-672-4727,2017-01-25,21:19:05.151095
644-097-7772,727-551-2106,2017-07-27,19:55:44.034743
573-488-8760,753-124-4994,2017-01-31,18:13:56.727965
316-259-5236,995-055-1114,2017-08-02,10:15:39.204926
898-177-6861,610-263-7288,2017-02-04,12:11:22.926673
737-711-6365,608-079-4930,2017-07-27,16:04:19.554835
221-827-1070,455-854-3710,2017-11-22,22:39:01.593957
733-187-2959,799-183-9806,2017-06-15,06:30:31.035953
252-663-3819,965-814-3291,2017-07-28,00:05:59.776123
118-360-4135,725-626-2996,2017-09-02,22:33:00.657846
810-044-1619,828-812-0718,2017-04-12,02:48:43.573439
819-849-1804,799-183-9806,2017-02-06,15:10:00.630568
403-275-0541,186-729-3123,2017-09-15,08:17:23.199918
813-488-7105,828-812-0718,2017-03-21,14:09:51.055524
799-488-0562,995-055-1114,2017-06-23,12:22:21.659410
960-664-8315,644-097-7772,2017-07-17,11:50:57.516936
370-187-0070,828-812-0718,2017-09-23,03:28:32.823335
675-012-7149,414-128-3556,2017-10-22,18:26:32.574804
472-537-1905,349-674-8673,2017-05-23,07:01:50.135040
226-031-6566,328-866-0427,2017-05-06,15:11:30.387333
675-012-7149,905-168-6189,2017-07-22,13:12:23.109455
898-177-6861,441-486-8744,2017-01-12,14:40:56.781919
441-486-8744,224-307-9607,2017-07-05,06:25:03.051860
589-416-9564,271-788-9365,2017-12-18,06:01:00.829339
799-488-0562,986-821-7725,2017-01-24,02:37:39.489236
589-416-9564,287-287-2300,2017-01-01,04:50:55.521479
370-187-0070,361-039-4345,2017-10-29,04:51:39.312637
737-711-6365,549-323-0194,2017-01-14,04:21:23.138190
316-259-5236,610-263-7288,2017-09-24,10:55:38.098427
603-627-2229,648-457-8297,2017-11-25,12:35:12.985565
573-488-8760,733-187-2959,2017-07-16,00:53:51.175297
472-537-1905,822-885-9453,2017-12-08,02:49:43.244439
733-187-2959,894-374-8558,2017-02-19,15:26:12.911878
316-259-5236,363-649-7771,2017-06-29,16:54:10.167847
799-488-0562,861-878-1772,2017-11-11,00:31:13.567829
316-259-5236,328-866-0427,2017-08-31,01:04:30.039848
733-187-2959,441-486-8744,2017-01-02,22:01:31.805223
819-849-1804,230-006-7468,2017-11-20,22:13:24.822553
433-599-1726,828-812-0718,2017-01-09,18:40:04.098894
116-475-3164,433-599-1726,2017-12-11,05:25:01.560579
932-432-3898,819-849-1804,2017-11-13,06:02:37.299329
186-729-3123,284-762-6101,2017-11-24,13:36:39.197019
603-627-2229,604-107-7176,2017-11-28,07:18:25.817898
960-664-8315,455-854-3710,2017-07-06,08:34:46.844529
585-337-8204,145-788-8928,2017-08-16,01:18:15.838718
648-457-8297,537-537-7090,2017-08-22,16:30:51.631170
898-177-6861,255-827-4711,2017-03-06,04:39:18.921026
905-408-8460,221-827-1070,2017-12-09,03:16:53.386947
603-627-2229,118-360-4135,2017-06-25,17:44:17.689790
116-475-3164,221-827-1070,2017-09-07,02:16:34.594836
370-187-0070,845-198-2046,2017-11-15,02:32:31.158546
908-589-1859,472-537-1905,2017-08-07,04:22:56.390221
252-663-3819,908-589-1859,2017-08-29,10:49:41.812858
813-488-7105,644-097-7772,2017-02-22,10:52:50.703126
458-246-9608,310-498-2762,2017-07-29,02:18:29.653617
508-189-5066,894-374-8558,2017-09-24,09:55:00.510588
932-432-3898,226-031-6566,2017-07-16,18:18:26.592407
473-110-5271,898-177-6861,2017-11-02,09:39:53.400895
733-187-2959,610-263-7288,2017-01-29,19:13:59.204880
879-692-2301,287-287-2300,2017-10-16,13:08:19.754231
898-177-6861,995-055-1114,2017-04-15,05:51:34.567282
908-589-1859,363-649-7771,2017-07-17,12:17:54.454532
603-627-2229,976-174-4409,2017-07-25,15:41:41.702357
683-712-6411,361-039-4345,2017-03-31,08:04:36.449305
472-537-1905,433-599-1726,2017-11-10,22:20:18.322388
100-830-1428,562-069-8665,2017-01-06,16:16:22.282433
737-711-6365,706-073-4548,2017-06-13,20:07:33.676185
549-323-0194,603-627-2229,2017-11-20,15:30:02.577551
879-692-2301,376-226-1704,2017-04-14,05:38:53.535521
226-031-6566,753-124-4994,2017-01-05,11:14:51.161430
995-055-1114,828-812-0718,2017-07-04,03:50:41.762081
737-711-6365,706-073-4548,2017-02-11,20:59:59.812705
473-110-5271,887-628-4270,2017-05-14,12:11:18.951005
604-107-7176,376-608-7518,2017-08-11,07:03:10.514035
315-099-0962,887-628-4270,2017-04-05,14:48:15.396315
473-110-5271,905-168-6189,2017-09-28,14:14:55.010967
675-012-7149,370-187-0070,2017-10-01,21:05:11.754637
239-262-5534,845-198-2046,2017-05-17,08:35:53.494009
573-488-8760,905-408-8460,2017-04-14,03:08:34.244689
361-039-4345,995-055-1114,2017-05-25,22:14:09.443592
813-488-7105,728-062-6327,2017-10-31,17:30:22.581965
810-044-1619,287-287-2300,2017-09-22,07:23:47.022441
960-664-8315,610-263-7288,2017-10-14,02:35:01.689065
363-649-7771,255-827-4711,2017-11-16,04:48:42.726890
986-821-7725,537-537-7090,2017-07-30,05:28:40.040778
810-044-1619,675-012-7149,2017-11-16,17:59:21.768841
562-069-8665,315-099-0962,2017-05-27,10:51:36.253472
315-508-5665,139-381-4068,2017-12-19,09:54:41.148451
508-189-5066,976-174-4409,2017-04-12,01:00:09.602696
733-187-2959,455-854-3710,2017-08-02,18:08:53.471178
508-189-5066,965-814-3291,2017-10-08,12:50:26.555751
986-821-7725,326-348-8171,2017-08-31,21:39:48.166441
100-830-1428,810-044-1619,2017-05-28,06:55:40.548950
562-069-8665,271-788-9365,2017-03-20,19:09:41.376355
186-729-3123,995-055-1114,2017-10-15,18:15:11.542372
315-099-0962,328-866-0427,2017-03-19,04:19:47.414683
549-323-0194,799-488-0562,2017-08-05,07:29:43.038986
363-649-7771,573-488-8760,2017-01-23,13:37:07.421416
648-457-8297,728-062-6327,2017-09-21,20:12:10.768871
186-729-3123,706-073-4548,2017-04-24,15:36:11.765724
316-259-5236,905-168-6189,2017-09-03,01:06:24.172232
861-878-1772,799-183-9806,2017-04-15,09:06:44.654032
648-457-8297,218-810-9957,2017-10-01,10:25:13.262069
737-711-6365,224-307-9607,2017-12-06,19:19:37.780737
737-711-6365,537-537-7090,2017-04-23,03:30:56.638438
675-012-7149,727-551-2106,2017-07-04,13:49:20.591565
472-537-1905,376-608-7518,2017-12-16,20:05:00.853517
799-488-0562,441-486-8744,2017-01-13,15:47:35.708885
479-518-8841,949-372-6727,2017-07-08,05:50:32.708388
116-475-3164,252-663-3819,2017-09-08,06:21:58.076939
361-039-4345,604-107-7176,2017-03-16,04:26:17.345034
361-039-4345,363-649-7771,2017-01-31,23:17:49.734708
905-168-6189,376-608-7518,2017-04-03,08:06:48.528858
604-107-7176,559-713-1835,2017-07-20,20:05:54.054380
683-712-6411,784-882-5256,2017-04-09,20:20:15.911946
585-337-8204,733-187-2959,2017-06-20,16:59:59.074819
960-664-8315,976-174-4409,2017-08-20,03:57:21.188634
995-055-1114,316-259-5236,2017-10-30,06:02:33.821935
960-664-8315,367-042-6173,2017-01-15,21:33:33.118549
549-323-0194,799-183-9806,2017-05-06,10:21:29.211662
995-055-1114,458-246-9608,2017-07-24,11:14:24.715972
995-055-1114,822-885-9453,2017-11-03,23:50:54.349780
472-537-1905,376-226-1704,2017-07-17,08:42:32.220300
508-189-5066,610-263-7288,2017-09-18,14:35:37.263656
604-107-7176,326-348-8171,2017-05-31,11:33:12.844920
603-627-2229,158-576-4578,2017-08-01,06:20:05.037824
186-729-3123,610-263-7288,2017-01-15,05:53:57.293796
479-518-8841,403-275-0541,2017-11-05,16:28:50.016195
100-830-1428,845-198-2046,2017-01-14,13:49:47.540100
186-729-3123,610-263-7288,2017-02-01,20:56:50.751979
479-518-8841,585-337-8204,2017-07-14,19:48:24.062041
995-055-1114,879-692-2301,2017-01-06,14:30:25.593257
441-486-8744,296-845-8815,2017-08-05,07:40:28.329398
737-711-6365,965-814-3291,2017-05-09,06:18:50.303853
683-712-6411,224-307-9607,2017-09-22,01:37:20.150279
675-012-7149,644-097-7772,2017-07-23,07:50:27.533933
562-069-8665,995-055-1114,2017-04-15,21:56:06.728149
315-099-0962,932-432-3898,2017-12-24,22:57:06.335284
810-044-1619,755-837-6504,2017-05-23,23:17:39.520312
648-457-8297,733-187-2959,2017-10-25,08:23:03.698714
879-692-2301,370-187-0070,2017-01-23,22:06:07.525382
604-107-7176,819-849-1804,2017-03-25,09:51:23.067513
361-039-4345,905-168-6189,2017-04-03,04:36:00.953364
879-692-2301,573-488-8760,2017-11-06,04:44:36.526669
472-537-1905,901-672-4727,2017-10-17,06:50:57.545845
472-537-1905,901-672-4727,2017-11-08,17:38:27.190306
100-830-1428,610-263-7288,2017-08-03,23:30:39.777081
226-031-6566,361-039-4345,2017-09-18,23:32:26.411420
118-360-4135,648-457-8297,2017-03-12,18:14:55.770301
589-416-9564,458-246-9608,2017-11-03,21:53:59.303479
433-599-1726,341-119-2595,2017-12-07,02:54:26.990697
472-537-1905,158-576-4578,2017-08-24,19:09:13.634936
479-518-8841,737-711-6365,2017-06-25,18:41:22.414322
879-692-2301,226-031-6566,2017-03-05,17:02:58.511384
186-729-3123,328-866-0427,2017-01-26,05:43:22.000476
733-187-2959,287-287-2300,2017-08-25,02:08:10.816960
733-187-2959,472-537-1905,2017-10-18,07:22:11.889468
403-275-0541,603-627-2229,2017-07-07,05:15:02.985497
221-827-1070,608-079-4930,2017-05-09,04:15:17.022208
472-537-1905,537-537-7090,2017-03-20,09:09:18.238774
370-187-0070,949-372-6727,2017-10-11,16:56:46.231830
458-246-9608,549-323-0194,2017-03-18,20:43:07.082816
441-486-8744,376-608-7518,2017-03-23,09:23:53.038703
239-262-5534,441-486-8744,2017-06-17,09:40:11.071170
986-821-7725,965-814-3291,2017-04-16,18:34:39.594564
473-110-5271,784-882-5256,2017-09-04,01:03:25.697470
894-374-8558,733-187-2959,2017-09-03,16:55:02.283597
562-069-8665,139-381-4068,2017-04-21,09:30:55.400463
861-878-1772,725-626-2996,2017-02-21,21:59:28.215276
118-360-4135,810-044-1619,2017-10-23,00:17:58.459983
363-649-7771,995-055-1114,2017-09-04,00:11:10.328718
648-457-8297,388-647-9826,2017-02-19,13:19:38.440426
403-275-0541,218-810-9957,2017-03-14,02:13:50.979711
370-187-0070,585-337-8204,2017-09-01,01:08:35.728778
905-168-6189,644-097-7772,2017-03-27,10:05:13.711721
315-099-0962,589-416-9564,2017-02-09,16:18:35.557141
370-187-0070,100-830-1428,2017-12-16,03:01:18.090654
458-246-9608,455-854-3710,2017-01-18,11:02:51.034224
458-246-9608,433-599-1726,2017-06-03,21:30:34.531040
239-262-5534,608-079-4930,2017-02-10,22:21:53.044477
861-878-1772,765-064-7110,2017-05-04,22:48:32.933996
363-649-7771,179-506-3473,2017-11-26,03:24:33.321741
589-416-9564,829-644-5392,2017-01-06,15:38:22.699528
100-830-1428,905-168-6189,2017-12-10,19:22:22.345710
905-408-8460,376-608-7518,2017-10-11,02:51:38.707295
604-107-7176,158-576-4578,2017-02-24,03:36:25.665669
441-486-8744,472-537-1905,2017-07-25,15:09:31.515318
819-849-1804,441-486-8744,2017-06-09,08:19:30.789012
433-599-1726,403-275-0541,2017-02-18,04:00:01.017057
898-177-6861,414-128-3556,2017-02-09,20:36:38.417262
361-039-4345,252-663-3819,2017-02-23,12:04:19.516751
441-486-8744,573-488-8760,2017-03-25,21:55:39.835341
894-374-8558,995-055-1114,2017-01-03,11:09:28.726136
221-827-1070,905-408-8460,2017-05-23,08:38:07.450184
603-627-2229,725-626-2996,2017-02-14,07:23:04.749813
370-187-0070,116-475-3164,2017-04-11,19:17:04.082559
239-262-5534,845-198-2046,2017-12-15,13:05:44.535409
315-099-0962,887-628-4270,2017-05-17,02:48:15.679564
644-097-7772,315-099-0962,2017-11-16,00:33:17.256678
473-110-5271,644-097-7772,2017-01-26,08:20:41.589854
363-649-7771,472-537-1905,2017-07-29,22:03:49.897852
226-031-6566,361-039-4345,2017-09-08,00:49:22.922301
403-275-0541,158-576-4578,2017-05-09,20:16:57.415768
100-830-1428,845-198-2046,2017-08-27,18:19:02.961525
644-097-7772,315-508-5665,2017-03-04,09:48:14.736532
472-537-1905,414-128-3556,2017-12-15,18:15:03.842528
898-177-6861,458-246-9608,2017-08-06,13:33:34.991441
960-664-8315,349-674-8673,2017-01-16,22:07:17.677461
473-110-5271,589-416-9564,2017-01-10,17:48:37.725668
